ym,rate
1999年10月,4.6
1999年11月,4.4
1999年12月,4.3
2000年1月,4.6
2000年2月,4.9
2000年3月,5.2
2000年4月,5.1
2000年5月,4.8
2000年6月,4.7
2000年7月,4.5
2000年8月,4.6
2000年9月,4.7
2000年10月,4.6
2000年11月,4.5
2000年12月,4.4
2001年1月,4.7
2001年2月,4.8
2001年3月,5.1
2001年4月,5.1
2001年5月,5.1
2001年6月,5
2001年7月,4.9
2001年8月,5
2001年9月,5.3
2001年10月,5.2
2001年11月,5.2
2001年12月,5
2002年1月,5.2
2002年2月,5.4
2002年3月,5.7
2002年4月,5.6
2002年5月,5.6
2002年6月,5.5
2002年7月,5.2
2002年8月,5.4
2002年9月,5.4
2002年10月,5.4
2002年11月,5.1
2002年12月,5
2003年1月,5.4
2003年2月,5.3
2003年3月,5.8
2003年4月,5.8
2003年5月,5.6
2003年6月,5.3
2003年7月,5.1
2003年8月,5
2003年9月,5.2
2003年10月,5.1
2003年11月,5
2003年12月,4.5
2004年1月,4.9
2004年2月,5
2004年3月,5
2004年4月,5
2004年5月,4.8
2004年6月,4.6
2004年7月,4.8
2004年8月,4.7
2004年9月,4.6
2004年10月,4.7
2004年11月,4.4
2004年12月,4.1
2005年1月,4.5
2005年2月,4.7
2005年3月,4.8
2005年4月,4.7
2005年5月,4.6
2005年6月,4.2
2005年7月,4.3
2005年8月,4.2
2005年9月,4.2
2005年10月,4.5
2005年11月,4.4
2005年12月,4
2006年1月,4.5
2006年2月,4.2
2006年3月,4.4
2006年4月,4.3
2006年5月,4.1
2006年6月,4.1
2006年7月,4
2006年8月,4.1
2006年9月,4.2
2006年10月,4.2
2006年11月,3.9
2006年12月,3.7
2007年1月,4
2007年2月,4.1
2007年3月,4.2
2007年4月,4
2007年5月,3.8
2007年6月,3.6
2007年7月,3.5
2007年8月,3.7
2007年9月,4
2007年10月,4
2007年11月,3.7
2007年12月,3.5
2008年1月,3.9
2008年2月,4.1
2008年3月,4.1
2008年4月,4.1
2008年5月,4
2008年6月,3.9
2008年7月,3.8
2008年8月,4.1
2008年9月,4.1
2008年10月,3.8
2008年11月,3.9
2008年12月,4.1
2009年1月,4.2
2009年2月,4.6
2009年3月,5.1
2009年4月,5.2
2009年5月,5.2
2009年6月,5.2
2009年7月,5.4
2009年8月,5.4
2009年9月,5.5
2009年10月,5.2
2009年11月,5
2009年12月,4.8
2010年1月,4.9
2010年2月,5
2010年3月,5.3
2010年4月,5.4
2010年5月,5.2
2010年6月,5.2
2010年7月,5
2010年8月,5.1
2010年9月,5.1
2010年10月,5
2010年11月,4.8
2010年12月,4.6
2011年1月,4.8
2011年2月,4.6
2011年3月,4.9
2011年4月,5
2011年5月,4.7
2011年6月,4.7
2011年7月,4.7
2011年8月,4.5
2011年9月,4.2
2011年10月,4.4
2011年11月,4.3
2011年12月,4.2
